Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
0.34,0.441236897640899,0.441184549683932,0.441210541470212,0.441187290582025,0.441234938843884,5.23479569664587e-05,2.63561706868587e-05,4.96070588736353e-05,1.95879701497814e-06
0.35,0.454766887148314,0.454714013073459,0.454740266081532,0.454718594950322,0.454764931166414,5.28740748556578e-05,2.66210667820843e-05,4.82921979925166e-05,1.95598190028123e-06
0.36,0.468332353640085,0.468278948159645,0.468305465014835,0.468285335516466,0.468330455403246,5.3405480439972e-05,2.68886252496325e-05,4.70181236194578e-05,1.89823683893753e-06
0.37,0.481933653665831,0.481879711438968,0.481906494792983,0.481887868376623,0.481931861854262,5.39422268626688e-05,2.71588728480987e-05,4.57852892083999e-05,1.79181156911845e-06
0.38,0.495571147358556,0.495516662990755,0.495543715521951,0.495526553205348,0.495569500819344,5.44843678015883e-05,2.74318366049742e-05,4.45941532081773e-05,1.64653921241875e-06
0.39,0.509245198470661,0.509190166513187,0.509217490926841,0.509201753291544,0.509243722598374,5.50319574735836e-05,2.77075438194219e-05,4.34451791169188e-05,1.47587228693791e-06
0.4,0.522956174410318,0.522900589359677,0.522928188388253,0.52291383557478,0.522954877491234,5.55850506406275e-05,2.79860220646633e-05,4.23388355373921e-05,1.29691908357099e-06
0.41,0.536704446278213,0.536648302575598,0.536676178979022,0.536663170681981,0.536703315797807,5.61437026150857e-05,2.82672991915867e-05,4.12755962329037e-05,1.13048040628616e-06
0.42,0.550490388904658,0.550433680935393,0.550461837501328,0.550450132964475,0.550489387817975,5.67079692650463e-05,2.85514033303569e-05,4.02559401833091e-05,1.00108668321663e-06
0.43,0.56431438088707,0.56425710298005,0.564285542524176,0.564275100535428,0.56431344385162,5.72779070203699e-05,2.88383628945788e-05,3.92803516428009e-05,9.37035449899426e-07
0.44,0.578176804627834,0.578118951054956,0.578147676421251,0.578138455307637,0.578175827102805,5.78535728779084e-05,2.91282065828513e-05,3.8349320196529e-05,9.77525029255411e-07
0.45,0.592078046372542,0.592019611348135,0.59204862540916,0.592040583031723,0.592076905019454,5.84350244073883e-05,2.94209633825426e-05,3.74633408194436e-05,1.14135308770802e-06
0.46,0.60601849624862,0.605959473928863,0.605988779586048,0.605981873334685,0.60601710305347,5.90223197572959e-05,2.97166625723433e-05,3.6622913935247e-05,1.39319515013447e-06
0.47,0.61999854830434,0.61993893278668,0.619968532970615,0.619962719758865,0.619996849061129,5.96155176600943e-05,3.00153337249309e-05,3.58285454754581e-05,1.69924321147263e-06
0.48,0.634018600548223,0.633958385870785,0.633988283541513,0.633983519801283,0.634016570898705,6.02146774387746e-05,3.03170067104119e-05,3.50807469401415e-05,2.02964951812046e-06
