Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
0.75,3.25,3.24999999999999,3.24999999999999,3.24999999999999,3.25,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,0
0.76,3.28,3.27999999999999,3.27999999999999,3.27999999999999,3.28,7.54951656745106e-15,7.54951656745106e-15,7.54951656745106e-15,8.88178419700125e-16
0.77,3.31,3.30999999999999,3.30999999999999,3.30999999999999,3.31,7.54951656745106e-15,7.54951656745106e-15,7.54951656745106e-15,0
0.78,3.34,3.33999999999999,3.33999999999999,3.33999999999999,3.34,7.54951656745106e-15,7.54951656745106e-15,7.54951656745106e-15,0
0.79,3.37,3.36999999999999,3.36999999999999,3.36999999999999,3.37,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,0
0.8,3.4,3.39999999999999,3.39999999999999,3.39999999999999,3.4,8.43769498715119e-15,8.43769498715119e-15,8.43769498715119e-15,4.44089209850063e-16
0.81,3.43,3.42999999999999,3.42999999999999,3.42999999999999,3.43,8.43769498715119e-15,8.43769498715119e-15,8.43769498715119e-15,0
0.82,3.46,3.45999999999999,3.45999999999999,3.45999999999999,3.46,8.43769498715119e-15,8.43769498715119e-15,8.43769498715119e-15,0
0.83,3.49,3.48999999999999,3.48999999999999,3.48999999999999,3.49,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,0
0.84,3.52,3.51999999999999,3.51999999999999,3.51999999999999,3.52,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,4.44089209850063e-16
0.85,3.55,3.54999999999999,3.54999999999999,3.54999999999999,3.55,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,0
0.86,3.58,3.57999999999999,3.57999999999999,3.57999999999999,3.58,9.32587340685131e-15,9.32587340685131e-15,9.32587340685131e-15,4.44089209850063e-16
0.87,3.61,3.60999999999999,3.60999999999999,3.60999999999999,3.61,9.32587340685131e-15,9.32587340685131e-15,9.32587340685131e-15,0
0.88,3.64,3.63999999999999,3.63999999999999,3.63999999999999,3.64,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,4.44089209850063e-16
0.89,3.67,3.66999999999999,3.66999999999999,3.66999999999999,3.67,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,0
0.9,3.7,3.69999999999999,3.69999999999999,3.69999999999999,3.7,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14,4.44089209850063e-16
0.91,3.73,3.72999999999999,3.72999999999999,3.72999999999999,3.73,1.02140518265514e-14,1.02140518265514e-14,1.02140518265514e-14,0
0.92,3.76,3.75999999999999,3.75999999999999,3.75999999999999,3.76,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,4.44089209850063e-16
0.93,3.79,3.78999999999999,3.78999999999999,3.78999999999999,3.79,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,0
0.94,3.82,3.81999999999999,3.81999999999999,3.81999999999999,3.82,1.11022302462516e-14,1.11022302462516e-14,1.11022302462516e-14,0
0.95,3.85,3.84999999999999,3.84999999999999,3.84999999999999,3.85,1.11022302462516e-14,1.11022302462516e-14,1.11022302462516e-14,0
0.96,3.88,3.87999999999999,3.87999999999999,3.87999999999999,3.88,1.11022302462516e-14,1.11022302462516e-14,1.11022302462516e-14,0
0.97,3.91,3.90999999999999,3.90999999999999,3.90999999999999,3.91,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,4.44089209850063e-16
0.98,3.94,3.93999999999999,3.93999999999999,3.93999999999999,3.94,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,4.44089209850063e-16
0.99,3.97,3.96999999999999,3.96999999999999,3.96999999999999,3.97,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,0
1,4,3.99999999999999,3.99999999999999,3.99999999999999,4,1.19904086659517e-14,1.19904086659517e-14,1.19904086659517e-14,0
1.01,4.03,4.02999999999999,4.02999999999999,4.02999999999999,4.03,1.24344978758018e-14,1.24344978758018e-14,1.24344978758018e-14,8.88178419700125e-16
1.02,4.06,4.05999999999999,4.05999999999999,4.05999999999999,4.06,1.24344978758018e-14,1.24344978758018e-14,1.24344978758018e-14,8.88178419700125e-16
1.03,4.09,4.08999999999999,4.08999999999999,4.08999999999999,4.09,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,0
1.04,4.12,4.11999999999999,4.11999999999999,4.11999999999999,4.12,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,0
1.05,4.15,4.14999999999999,4.14999999999999,4.14999999999999,4.15,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,8.88178419700125e-16
1.06,4.18,4.17999999999999,4.17999999999999,4.17999999999999,4.18,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,0
1.07,4.21,4.20999999999999,4.20999999999999,4.20999999999999,4.21,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,0
1.08,4.24,4.23999999999999,4.23999999999999,4.23999999999999,4.24,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,0
1.09,4.27,4.26999999999999,4.26999999999999,4.26999999999999,4.27,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,8.88178419700125e-16
